ID	X	Y	dem
294	64.3125	39.9375	219
295	64.4375	39.9375	222
296	64.5625	39.9375	231
297	64.6875	39.9375	241
298	64.8125	39.9375	240
299	64.9375	39.9375	258
300	65.0625	39.9375	339
301	65.1875	39.9375	410
302	65.3125	39.9375	487
303	65.4375	39.9375	554
304	65.5625	39.9375	556
305	65.6875	39.9375	466
306	65.8125	39.9375	457
307	65.9375	39.9375	458
308	66.0625	39.9375	458
309	66.1875	39.9375	457
310	66.3125	39.9375	485
311	66.4375	39.9375	500
312	66.5625	39.9375	522
313	66.6875	39.9375	550
314	66.8125	39.9375	583
315	66.9375	39.9375	628
316	67.0625	39.9375	760
317	67.1875	39.9375	1039
318	67.3125	39.9375	1101
319	67.4375	39.9375	792
320	62.1875	39.8125	191
321	62.3125	39.8125	187
322	62.4375	39.8125	175
323	62.5625	39.8125	160
324	62.6875	39.8125	173
325	62.8125	39.8125	177
326	62.9375	39.8125	177
327	63.0625	39.8125	178
328	63.1875	39.8125	178
329	63.3125	39.8125	177
330	63.4375	39.8125	181
331	63.5625	39.8125	187
332	63.6875	39.8125	195
333	63.8125	39.8125	198
334	63.9375	39.8125	201
335	64.0625	39.8125	206
336	64.1875	39.8125	211
337	64.3125	39.8125	212
338	64.4375	39.8125	224
339	64.5625	39.8125	226
340	64.6875	39.8125	218
341	64.8125	39.8125	208
342	64.9375	39.8125	224
343	65.0625	39.8125	271
344	65.1875	39.8125	290
345	65.3125	39.8125	326
346	65.4375	39.8125	376
347	65.5625	39.8125	479
348	65.6875	39.8125	672
349	65.8125	39.8125	739
350	65.9375	39.8125	811
351	66.0625	39.8125	608
352	66.1875	39.8125	507
353	66.3125	39.8125	518
354	66.4375	39.8125	570
355	66.5625	39.8125	567
356	66.6875	39.8125	576
357	66.8125	39.8125	599
358	66.9375	39.8125	631
359	67.0625	39.8125	676
360	67.1875	39.8125	752
361	67.3125	39.8125	829
362	67.4375	39.8125	818
363	67.5625	39.8125	852
364	67.6875	39.8125	940
365	71.6875	39.8125	3952
366	71.8125	39.8125	4063
367	72.5625	39.8125	4174
368	72.6875	39.8125	4117
369	72.8125	39.8125	4103
370	72.9375	39.8125	3895
371	73.0625	39.8125	3856
372	73.1875	39.8125	3432
